filename,watyr,post_drain,pre_drain
apelake,2017,12/05/2016 15:00,
apelake,2017,3/20/2017 12:00,
apelake,2018,10/03/2017 17:00,10/03/2017 15:00
apelake,2018,3/18/2018 13:00,3/18/2018 11:00
apelake,2018,9/29/2018 15:00,9/29/2018 13:00
apelake,2019,3/19/2019 11:00,
apelake,2019,9/29/2019 15:00,
apelake,2020,3/19/2020 11:00,
apelake,2020,9/29/2020 14:00,
apelake,2021,3/25/2021 13:00,
apelake,2021,05/05/2021 19:00,
apelake,2023,10/03/2022 16:00,10/03/2022 14:00
apelake,2024,10/06/2023 09:00,
upperskeena,2022,06/09/2022 11:00,06/09/2022 09:00
upperskeena,2023,07/11/2023 13:00,01/08/2023 13:00
upperskeena,2024,10/11/2023 14:00,
mountmaya,2015,12/08/2014 16:00,12/08/2014 12:00
mountmaya,2015,02/11/2015 10:00,02/11/2015 08:00
mountmaya,2016,10/07/2015 12:00,10/07/2015 10:00
mountmaya,2016,2/18/2016 12:00,2/18/2016 8:00
mountmaya,2017,10/22/2016 11:00,10/22/2016 9:00
mountmaya,2017,3/20/2017 15:00,3/20/2017 12:00
mountmaya,2018,10/03/2017 18:00,10/03/2017 16:00
mountmaya,2018,3/18/2018 15:00,3/18/2018 13:00
mountmaya,2018,9/29/2018 16:00,
mountmaya,2019,3/18/2019 18:00,3/18/2019 16:00
mountmaya,2020,3/18/2020 16:00,3/18/2020 14:00
mountmaya,2020,9/29/2020 11:00,9/29/2020 9:00
mountmaya,2021,3/25/2021 17:00,3/25/2021 15:00
mountmaya,2022,10/07/2021 17:00,10/07/2021 15:00
mountmaya,2023,10/04/2022 13:00,10/04/2022 11:00
mountmaya,2023,7/14/2023 12:00,7/13/2023 8:00
claytonfalls,2017,10/04/2016 16:00,10/04/2016 12:00
claytonfalls,2017,3/20/2017 18:00,3/20/2017 16:00
claytonfalls,2018,10/04/2017 13:00,10/04/2017 12:00
claytonfalls,2018,3/19/2018 9:00,3/19/2018 7:00
claytonfalls,2018,9/29/2018 18:00,9/29/2018 17:00
claytonfalls,2019,3/19/2019 10:00,3/19/2019 9:00
claytonfalls,2019,9/29/2019 12:00,9/29/2019 11:00
claytonfalls,2020,12/09/2019 12:00,12/09/2019 10:00
claytonfalls,2020,3/19/2020 8:00,3/19/2020 7:00
claytonfalls,2020,9/29/2020 12:00,
claytonfalls,2021,4/13/2021 12:00,4/13/2021 10:00
claytonfalls,2022,10/07/2021 11:00,10/07/2021 08:00
claytonfalls,2023,10/04/2022 10:00,10/04/2022 08:00
claytonfalls,2024,10/05/2023 15:00,10/05/2023 13:00
claytonfalls,2024,07/02/2024 14:00,07/02/2024 12:00
machmellkliniklini,2017,12/05/2016 13:00,12/05/2016 11:00
machmellkliniklini,2017,3/20/2017 9:00,3/20/2017 8:00
machmellkliniklini,2018,10/03/2017 15:00,10/03/2017 13:00
machmellkliniklini,2018,3/18/2018 11:00,3/18/2018 10:00
machmellkliniklini,2018,9/29/2018 13:00,
machmellkliniklini,2019,3/19/2019 15:00,
machmellkliniklini,2019,9/29/2019 16:00,
machmellkliniklini,2020,2/18/2020 15:00,
machmellkliniklini,2020,9/29/2020 15:00,
machmellkliniklini,2021,3/25/2021 11:00,3/25/2021 9:00
machmellkliniklini,2021,04/06/2021 03:00,04/06/2021 01:00
machmellkliniklini,2023,10/03/2022 14:00,10/03/2022 10:00
machmellkliniklini,2024,10/06/2023 11:00,10/06/2023 09:00
eastbuxton,2017,3/21/2017 11:00,3/21/2017 9:00
eastbuxton,2017,8/31/2017 10:00,7/14/2017 11:00
eastbuxton,2018,1/30/2018 18:00,
eastbuxton,2018,2/19/2018 14:00,2/19/2018 12:00
eastbuxton,2018,3/19/2018 12:00,3/19/2018 10:00
eastbuxton,2018,9/13/2018 10:00,9/13/2018 8:00
eastbuxton,2019,1/18/2019 16:00,
eastbuxton,2019,5/17/2019 10:00,5/17/2019 8:00
eastbuxton,2019,09/05/2019 14:00,09/05/2019 12:00
eastbuxton,2020,12/03/2019 13:00,12/03/2019 12:00
eastbuxton,2020,1/14/2020 4:00,1/13/2020 19:00
eastbuxton,2020,6/16/2020 10:00,6/16/2020 8:00
eastbuxton,2021,01/08/2021 12:00,
eastbuxton,2021,1/29/2021 15:00,1/29/2021 12:00
eastbuxton,2021,5/15/2021 10:00,
eastbuxton,2021,09/05/2021 17:00,08/09/2021 05:00
eastbuxton,2022,05/08/2022 12:00,
